Business_Name,Category,City,Locality,Address,Latitude,Longitude,Website,Phone,Rating,Opening_Hours,Parking,Delivery,Status,Has_Website,Opportunity_Flag,Rating_Band
Dumka Furniture 327,Furniture,Dumka,Sakchi,"Sakchi, Dumka, Jharkhand",24.133496,85.58548,https://www.dumkafurniture327.com,+91-9462747729,4.2,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Godda Bakery 328,Bakery,Godda,Main Road,"Main Road, Godda, Jharkhand",22.635255,86.108675,https://www.goddabakery328.com,+91-9240881133,3.8,8AM-10PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Jamshedpur College 329,College,Jamshedpur,Bistupur,"Bistupur, Jamshedpur, Jharkhand",24.579632,84.223157,https://www.jamshedpurcollege329.com,+91-9674165650,4.4,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Pakur Grocery Store 330,Grocery Store,Pakur,Sakchi,"Sakchi, Pakur, Jharkhand",23.090761,85.38913,https://www.pakurgrocerystore330.com,+91-9609379184,4.6,7AM-9PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Simdega Grocery Store 331,Grocery Store,Simdega,Bus Stand,"Bus Stand, Simdega, Jharkhand",23.818393,86.002905,https://www.simdegagrocerystore331.com,+91-9549710722,4.7,7AM-9PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Ramgarh Salon 332,Salon,Ramgarh,Harmu,"Harmu, Ramgarh, Jharkhand",22.549248,84.251976,https://www.ramgarhsalon332.com,+91-9661723850,5.0,9AM-8PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Latehar Clinic 333,Clinic,Latehar,Market Area,"Market Area, Latehar, Jharkhand",24.014612,85.122656,https://www.lateharclinic333.com,+91-9351798116,3.5,7AM-9PM,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Simdega Hotel 334,Hotel,Simdega,Station Road,"Station Road, Simdega, Jharkhand",24.120691,83.605162,https://www.simdegahotel334.com,+91-9374762050,4.5,24 Hours,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Jamshedpur Bakery 335,Bakery,Jamshedpur,Lower Bazar,"Lower Bazar, Jamshedpur, Jharkhand",22.821702,86.406384,https://www.jamshedpurbakery335.com,+91-9435766697,4.1,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Hazaribagh College 336,College,Hazaribagh,MG Road,"MG Road, Hazaribagh, Jharkhand",23.022582,84.950858,https://www.hazaribaghcollege336.com,+91-9767660223,3.9,24 Hours,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Godda Bank 337,Bank,Godda,Sakchi,"Sakchi, Godda, Jharkhand",22.765499,84.742862,https://www.goddabank337.com,+91-9613511668,4.7,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Pakur Grocery Store 338,Grocery Store,Pakur,Harmu,"Harmu, Pakur, Jharkhand",23.398025,85.475774,https://www.pakurgrocerystore338.com,+91-9570473733,3.8,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Bokaro Salon 339,Salon,Bokaro,Bistupur,"Bistupur, Bokaro, Jharkhand",23.272064,83.453344,https://www.bokarosalon339.com,+91-9803272515,4.0,8AM-10PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Chatra Gym 340,Gym,Chatra,Station Road,"Station Road, Chatra, Jharkhand",23.248544,86.106608,https://www.chatragym340.com,+91-9617468048,4.0,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Hazaribagh College 341,College,Hazaribagh,Adityapur,"Adityapur, Hazaribagh, Jharkhand",24.496537,86.607485,https://www.hazaribaghcollege341.com,+91-9277601056,3.6,8AM-10PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Giridih Gym 342,Gym,Giridih,Adityapur,"Adityapur, Giridih, Jharkhand",23.879952,84.813108,https://www.giridihgym342.com,+91-9352329335,3.6,9AM-8PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Bokaro Hardware 343,Hardware,Bokaro,Sakchi,"Sakchi, Bokaro, Jharkhand",24.185717,83.271077,https://www.bokarohardware343.com,+91-9533190034,4.1,7AM-9PM,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Ramgarh Clinic 344,Clinic,Ramgarh,Kanke,"Kanke, Ramgarh, Jharkhand",23.964423,87.001421,https://www.ramgarhclinic344.com,+91-9490136011,4.7,9AM-8PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Khunti Office 345,Office,Khunti,Kokar,"Kokar, Khunti, Jharkhand",23.307597,83.589748,https://www.khuntioffice345.com,+91-9807499502,3.8,24 Hours,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Jamshedpur Grocery Store 346,Grocery Store,Jamshedpur,Civil Lines,"Civil Lines, Jamshedpur, Jharkhand",23.427266,86.487355,https://www.jamshedpurgrocerystore346.com,+91-9897264993,4.6,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Sahibganj Electronics 347,Electronics,Sahibganj,Lower Bazar,"Lower Bazar, Sahibganj, Jharkhand",24.294261,86.067152,https://www.sahibganjelectronics347.com,+91-9215712585,4.6,7AM-9PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Simdega Hospital 348,Hospital,Simdega,Civil Lines,"Civil Lines, Simdega, Jharkhand",24.841564,83.217351,https://www.simdegahospital348.com,+91-9890503688,3.6,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Hazaribagh Hospital 349,Hospital,Hazaribagh,Kokar,"Kokar, Hazaribagh, Jharkhand",24.395732,83.614216,https://www.hazaribaghhospital349.com,+91-9806008664,4.4,9AM-8PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Medininagar Bank 350,Bank,Medininagar,Bus Stand,"Bus Stand, Medininagar, Jharkhand",23.308537,83.733487,https://www.medininagarbank350.com,+91-9543182078,4.4,24 Hours,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Koderma Clinic 351,Clinic,Koderma,Market Area,"Market Area, Koderma, Jharkhand",22.552667,85.69667,https://www.kodermaclinic351.com,+91-9412007357,4.5,8AM-10PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Khunti Grocery Store 352,Grocery Store,Khunti,Adityapur,"Adityapur, Khunti, Jharkhand",23.39111,85.482553,https://www.khuntigrocerystore352.com,+91-9816354624,4.6,24 Hours,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Ranchi Grocery Store 353,Grocery Store,Ranchi,Bistupur,"Bistupur, Ranchi, Jharkhand",22.38598,85.881017,https://www.ranchigrocerystore353.com,+91-9314643586,3.9,24 Hours,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Dumka Cafe 354,Cafe,Dumka,Market Area,"Market Area, Dumka, Jharkhand",24.210782,83.329226,https://www.dumkacafe354.com,+91-9974053994,4.2,8AM-10PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Dumka Gym 355,Gym,Dumka,Kokar,"Kokar, Dumka, Jharkhand",23.943481,86.905939,https://www.dumkagym355.com,+91-9516133637,4.1,24 Hours,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Ramgarh Jewelry 356,Jewelry,Ramgarh,Harmu,"Harmu, Ramgarh, Jharkhand",24.55655,86.641779,https://www.ramgarhjewelry356.com,+91-9575736188,4.7,24 Hours,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Dumka Electronics 357,Electronics,Dumka,Sakchi,"Sakchi, Dumka, Jharkhand",22.482278,85.930635,https://www.dumkaelectronics357.com,+91-9300764570,4.9,7AM-9PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Gumla Jewelry 358,Jewelry,Gumla,Bus Stand,"Bus Stand, Gumla, Jharkhand",22.3402,85.535944,https://www.gumlajewelry358.com,+91-9373821508,3.5,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Jamshedpur School 359,School,Jamshedpur,Upper Bazar,"Upper Bazar, Jamshedpur, Jharkhand",24.747146,85.662435,https://www.jamshedpurschool359.com,+91-9810699207,4.0,24 Hours,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Hazaribagh Clothing 360,Clothing,Hazaribagh,Adityapur,"Adityapur, Hazaribagh, Jharkhand",22.154529,85.220561,https://www.hazaribaghclothing360.com,+91-9546602768,4.3,24 Hours,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Medininagar Hardware 361,Hardware,Medininagar,MG Road,"MG Road, Medininagar, Jharkhand",22.830723,87.001233,https://www.medininagarhardware361.com,+91-9763873742,4.3,7AM-9PM,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Koderma Clothing 362,Clothing,Koderma,Harmu,"Harmu, Koderma, Jharkhand",24.705822,84.175309,https://www.kodermaclothing362.com,+91-9142817871,4.5,7AM-9PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Ranchi Furniture 363,Furniture,Ranchi,Adityapur,"Adityapur, Ranchi, Jharkhand",24.416327,84.699832,https://www.ranchifurniture363.com,+91-9962017907,4.3,24 Hours,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Dhanbad Gym 364,Gym,Dhanbad,Station Road,"Station Road, Dhanbad, Jharkhand",22.452184,87.025105,https://www.dhanbadgym364.com,+91-9677646075,4.3,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Bokaro ATM 365,ATM,Bokaro,Market Area,"Market Area, Bokaro, Jharkhand",23.563263,86.010971,https://www.bokaroatm365.com,+91-9896045379,4.7,8AM-10PM,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Jamshedpur Hardware 366,Hardware,Jamshedpur,Station Road,"Station Road, Jamshedpur, Jharkhand",22.169744,83.911969,https://www.jamshedpurhardware366.com,+91-9370484159,4.3,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Godda College 367,College,Godda,Bistupur,"Bistupur, Godda, Jharkhand",22.899213,84.758007,https://www.goddacollege367.com,+91-9227029844,4.3,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Khunti Hotel 368,Hotel,Khunti,Adityapur,"Adityapur, Khunti, Jharkhand",22.268407,86.347568,https://www.khuntihotel368.com,+91-9423572858,4.4,9AM-8PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Gumla Bakery 369,Bakery,Gumla,Market Area,"Market Area, Gumla, Jharkhand",22.359144,84.76397,https://www.gumlabakery369.com,+91-9956292577,4.8,8AM-10PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Gumla Clinic 370,Clinic,Gumla,Civil Lines,"Civil Lines, Gumla, Jharkhand",22.319705,83.220119,https://www.gumlaclinic370.com,+91-9740653308,4.1,24 Hours,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Koderma ATM 371,ATM,Koderma,Lower Bazar,"Lower Bazar, Koderma, Jharkhand",23.487658,83.843817,https://www.kodermaatm371.com,+91-9337069279,4.4,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Koderma Fuel Station 372,Fuel Station,Koderma,Adityapur,"Adityapur, Koderma, Jharkhand",22.169434,85.886741,https://www.kodermafuelstation372.com,+91-9369173782,3.6,9AM-8PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Koderma Office 373,Office,Koderma,Market Area,"Market Area, Koderma, Jharkhand",22.250135,85.678063,https://www.kodermaoffice373.com,+91-9307767506,4.0,24 Hours,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Khunti Hospital 374,Hospital,Khunti,Upper Bazar,"Upper Bazar, Khunti, Jharkhand",22.898999,84.91323,https://www.khuntihospital374.com,+91-9105188198,4.0,9AM-8PM,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Medininagar Office 375,Office,Medininagar,Sakchi,"Sakchi, Medininagar, Jharkhand",23.338545,84.634966,https://www.medininagaroffice375.com,+91-9427997841,4.2,7AM-9PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Chaibasa Electronics 376,Electronics,Chaibasa,Kokar,"Kokar, Chaibasa, Jharkhand",24.609007,83.50585,https://www.chaibasaelectronics376.com,+91-9180960086,4.8,7AM-9PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Jamshedpur Electronics 377,Electronics,Jamshedpur,Adityapur,"Adityapur, Jamshedpur, Jharkhand",22.731849,86.775944,https://www.jamshedpurelectronics377.com,+91-9679473892,4.2,24 Hours,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Deoghar Furniture 378,Furniture,Deoghar,Sakchi,"Sakchi, Deoghar, Jharkhand",23.45337,83.562216,https://www.deogharfurniture378.com,+91-9490697670,4.3,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Hazaribagh Bakery 379,Bakery,Hazaribagh,Harmu,"Harmu, Hazaribagh, Jharkhand",24.796135,85.837653,https://www.hazaribaghbakery379.com,+91-9256980036,4.6,7AM-9PM,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Chaibasa Hotel 380,Hotel,Chaibasa,MG Road,"MG Road, Chaibasa, Jharkhand",22.652056,85.874342,https://www.chaibasahotel380.com,+91-9656075031,4.9,9AM-8PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Medininagar College 381,College,Medininagar,Station Road,"Station Road, Medininagar, Jharkhand",24.061209,85.285492,https://www.medininagarcollege381.com,+91-9990826848,3.9,8AM-10PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Koderma Hospital 382,Hospital,Koderma,Lower Bazar,"Lower Bazar, Koderma, Jharkhand",22.183512,84.206346,https://www.kodermahospital382.com,+91-9339336253,4.3,9AM-8PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Sahibganj Supermarket 383,Supermarket,Sahibganj,Civil Lines,"Civil Lines, Sahibganj, Jharkhand",22.639972,85.258165,https://www.sahibganjsupermarket383.com,+91-9401516912,3.8,24 Hours,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Pakur Clothing 384,Clothing,Pakur,Upper Bazar,"Upper Bazar, Pakur, Jharkhand",22.940674,83.653355,https://www.pakurclothing384.com,+91-9825022076,4.2,8AM-10PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Jamshedpur Clothing 385,Clothing,Jamshedpur,Civil Lines,"Civil Lines, Jamshedpur, Jharkhand",23.67046,83.844517,https://www.jamshedpurclothing385.com,+91-9775963880,4.3,7AM-9PM,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Godda Gym 386,Gym,Godda,Harmu,"Harmu, Godda, Jharkhand",24.857731,85.750491,https://www.goddagym386.com,+91-9872608028,4.6,7AM-9PM,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Latehar Salon 387,Salon,Latehar,Civil Lines,"Civil Lines, Latehar, Jharkhand",22.608091,84.843067,https://www.lateharsalon387.com,+91-9253235987,4.7,24 Hours,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Lohardaga School 388,School,Lohardaga,Station Road,"Station Road, Lohardaga, Jharkhand",22.639441,84.741848,https://www.lohardagaschool388.com,+91-9216576275,3.5,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Chatra Salon 389,Salon,Chatra,Harmu,"Harmu, Chatra, Jharkhand",22.06711,86.335473,https://www.chatrasalon389.com,+91-9640445621,4.6,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Pakur College 390,College,Pakur,Adityapur,"Adityapur, Pakur, Jharkhand",23.212052,86.699297,https://www.pakurcollege390.com,+91-9849088260,4.3,9AM-8PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Chaibasa Supermarket 391,Supermarket,Chaibasa,Sakchi,"Sakchi, Chaibasa, Jharkhand",24.247577,86.840341,https://www.chaibasasupermarket391.com,+91-9189998443,3.9,24 Hours,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Lohardaga Restaurant 392,Restaurant,Lohardaga,Adityapur,"Adityapur, Lohardaga, Jharkhand",22.303486,83.228776,https://www.lohardagarestaurant392.com,+91-9802813548,3.8,9AM-8PM,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Koderma ATM 393,ATM,Koderma,Harmu,"Harmu, Koderma, Jharkhand",22.710898,86.619908,https://www.kodermaatm393.com,+91-9554795749,4.3,9AM-8PM,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Latehar Clinic 394,Clinic,Latehar,Civil Lines,"Civil Lines, Latehar, Jharkhand",23.060639,85.419645,https://www.lateharclinic394.com,+91-9372491666,5.0,9AM-8PM,Limited,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Giridih Grocery Store 395,Grocery Store,Giridih,Sakchi,"Sakchi, Giridih, Jharkhand",24.299328,86.996981,https://www.giridihgrocerystore395.com,+91-9207673349,3.8,7AM-9PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Dhanbad Restaurant 396,Restaurant,Dhanbad,Lower Bazar,"Lower Bazar, Dhanbad, Jharkhand",22.385985,86.903447,https://www.dhanbadrestaurant396.com,+91-9567482967,3.6,24 Hours,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Godda Bank 397,Bank,Godda,Harmu,"Harmu, Godda, Jharkhand",23.918526,84.345877,https://www.goddabank397.com,+91-9741531280,3.6,9AM-8PM,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Simdega Office 398,Office,Simdega,Bus Stand,"Bus Stand, Simdega, Jharkhand",22.534239,86.335838,https://www.simdegaoffice398.com,+91-9648196577,4.3,8AM-10PM,Limited,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Koderma Clothing 399,Clothing,Koderma,Main Road,"Main Road, Koderma, Jharkhand",24.876938,83.547371,https://www.kodermaclothing399.com,+91-9396284956,4.7,9AM-8PM,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Dhanbad Restaurant 400,Restaurant,Dhanbad,Station Road,"Station Road, Dhanbad, Jharkhand",23.598778,86.104555,https://www.dhanbadrestaurant400.com,+91-9700343937,4.9,24 Hours,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Lohardaga Bank 401,Bank,Lohardaga,Main Road,"Main Road, Lohardaga, Jharkhand",22.733323,84.828539,https://www.lohardagabank401.com,+91-9214315878,4.3,24 Hours,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Chaibasa Hospital 402,Hospital,Chaibasa,Kokar,"Kokar, Chaibasa, Jharkhand",23.278306,84.708321,https://www.chaibasahospital402.com,+91-9619293644,4.7,9AM-8PM,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Latehar Restaurant 403,Restaurant,Latehar,Station Road,"Station Road, Latehar, Jharkhand",22.723459,84.730693,https://www.lateharrestaurant403.com,+91-9946812945,5.0,8AM-10PM,No,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Gumla Gym 404,Gym,Gumla,Main Road,"Main Road, Gumla, Jharkhand",24.052456,84.253399,https://www.gumlagym404.com,+91-9408474841,3.6,7AM-9PM,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Khunti Hardware 405,Hardware,Khunti,Market Area,"Market Area, Khunti, Jharkhand",24.632949,84.276303,https://www.khuntihardware405.com,+91-9901179178,4.5,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Giridih Electronics 406,Electronics,Giridih,Market Area,"Market Area, Giridih, Jharkhand",24.454821,86.545339,https://www.giridihelectronics406.com,+91-9482281482,3.7,7AM-9PM,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Gumla Restaurant 407,Restaurant,Gumla,Main Road,"Main Road, Gumla, Jharkhand",24.494032,84.684786,https://www.gumlarestaurant407.com,+91-9438676325,4.2,9AM-8PM,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Lohardaga Clothing 408,Clothing,Lohardaga,Civil Lines,"Civil Lines, Lohardaga, Jharkhand",22.112445,86.39708,https://www.lohardagaclothing408.com,+91-9613592269,4.9,24 Hours,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Simdega Grocery Store 409,Grocery Store,Simdega,Sakchi,"Sakchi, Simdega, Jharkhand",22.896954,83.233674,https://www.simdegagrocerystore409.com,+91-9823812653,3.8,24 Hours,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Chaibasa Clinic 410,Clinic,Chaibasa,Market Area,"Market Area, Chaibasa, Jharkhand",22.758225,87.034107,https://www.chaibasaclinic410.com,+91-9468397022,4.0,8AM-10PM,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Chaibasa Bank 411,Bank,Chaibasa,Sakchi,"Sakchi, Chaibasa, Jharkhand",22.489668,83.724557,https://www.chaibasabank411.com,+91-9718360105,4.5,24 Hours,Yes,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Deoghar Electronics 412,Electronics,Deoghar,Upper Bazar,"Upper Bazar, Deoghar, Jharkhand",24.827444,83.798192,https://www.deogharelectronics412.com,+91-9965079822,3.5,8AM-10PM,Limited,No,Open,Yes,Has Website,Good (3.5-3.9)
Chaibasa Furniture 413,Furniture,Chaibasa,Adityapur,"Adityapur, Chaibasa, Jharkhand",24.525506,83.390837,https://www.chaibasafurniture413.com,+91-9206273380,4.5,24 Hours,No,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Chaibasa Hardware 414,Hardware,Chaibasa,MG Road,"MG Road, Chaibasa, Jharkhand",23.03092,85.429966,https://www.chaibasahardware414.com,+91-9969747935,3.9,7AM-9PM,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Koderma Hospital 415,Hospital,Koderma,Kanke,"Kanke, Koderma, Jharkhand",23.565315,87.117493,https://www.kodermahospital415.com,+91-9405596297,4.0,9AM-8PM,Limited,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Chatra Bank 416,Bank,Chatra,Bus Stand,"Bus Stand, Chatra, Jharkhand",23.341256,87.026378,https://www.chatrabank416.com,+91-9279932861,4.5,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Giridih Hardware 417,Hardware,Giridih,MG Road,"MG Road, Giridih, Jharkhand",22.900635,84.365425,https://www.giridihhardware417.com,+91-9387196293,4.4,9AM-8PM,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Hazaribagh Bakery 418,Bakery,Hazaribagh,Lower Bazar,"Lower Bazar, Hazaribagh, Jharkhand",22.019303,86.11109,https://www.hazaribaghbakery418.com,+91-9810841299,3.9,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Bokaro Grocery Store 419,Grocery Store,Bokaro,Station Road,"Station Road, Bokaro, Jharkhand",24.760381,85.092743,https://www.bokarogrocerystore419.com,+91-9157794625,3.5,7AM-9PM,Yes,No,Open,Yes,Has Website,Good (3.5-3.9)
Dhanbad Supermarket 420,Supermarket,Dhanbad,Kanke,"Kanke, Dhanbad, Jharkhand",24.744769,84.759385,https://www.dhanbadsupermarket420.com,+91-9346269087,3.9,8AM-10PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Khunti Cafe 421,Cafe,Khunti,Lower Bazar,"Lower Bazar, Khunti, Jharkhand",24.695817,86.656965,https://www.khunticafe421.com,+91-9601645174,5.0,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Excellent (4.5-5.0)
Sahibganj School 422,School,Sahibganj,Kanke,"Kanke, Sahibganj, Jharkhand",24.196735,86.709175,https://www.sahibganjschool422.com,+91-9567053396,4.3,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Dhanbad Clothing 423,Clothing,Dhanbad,Sakchi,"Sakchi, Dhanbad, Jharkhand",22.873605,84.848815,https://www.dhanbadclothing423.com,+91-9267200433,4.0,8AM-10PM,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Ranchi Clinic 424,Clinic,Ranchi,Kokar,"Kokar, Ranchi, Jharkhand",24.716265,86.98783,https://www.ranchiclinic424.com,+91-9612246868,3.9,24 Hours,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Khunti Clinic 425,Clinic,Khunti,Market Area,"Market Area, Khunti, Jharkhand",23.185208,85.442217,https://www.khunticlinic425.com,+91-9523861817,3.9,9AM-8PM,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Pakur Hotel 426,Hotel,Pakur,Kanke,"Kanke, Pakur, Jharkhand",22.668685,86.258153,https://www.pakurhotel426.com,+91-9758435897,4.7,24 Hours,Limited,No,Open,Yes,Has Website,Excellent (4.5-5.0)
Dhanbad Electronics 427,Electronics,Dhanbad,Civil Lines,"Civil Lines, Dhanbad, Jharkhand",22.359872,83.641425,https://www.dhanbadelectronics427.com,+91-9588920837,4.4,9AM-8PM,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Jamshedpur Supermarket 428,Supermarket,Jamshedpur,Adityapur,"Adityapur, Jamshedpur, Jharkhand",22.016393,87.08933,https://www.jamshedpursupermarket428.com,+91-9402918178,3.9,7AM-9PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Latehar Restaurant 429,Restaurant,Latehar,Market Area,"Market Area, Latehar, Jharkhand",22.975739,84.446307,https://www.lateharrestaurant429.com,+91-9958416162,4.2,7AM-9PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Chaibasa Cafe 430,Cafe,Chaibasa,Upper Bazar,"Upper Bazar, Chaibasa, Jharkhand",23.127265,85.372768,https://www.chaibasacafe430.com,+91-9294995530,3.8,9AM-8PM,Yes,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Godda Clothing 431,Clothing,Godda,Upper Bazar,"Upper Bazar, Godda, Jharkhand",24.874917,84.188649,https://www.goddaclothing431.com,+91-9135981405,3.8,8AM-10PM,No,No,Open,Yes,Has Website,Good (3.5-3.9)
Medininagar Furniture 432,Furniture,Medininagar,Civil Lines,"Civil Lines, Medininagar, Jharkhand",23.837493,83.368744,https://www.medininagarfurniture432.com,+91-9690106975,4.3,24 Hours,Yes,No,Open,Yes,Has Website,Very Good (4.0-4.4)
Ramgarh Office 433,Office,Ramgarh,Station Road,"Station Road, Ramgarh, Jharkhand",22.657898,84.936647,https://www.ramgarhoffice433.com,+91-9116178827,3.8,7AM-9PM,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Lohardaga Cafe 434,Cafe,Lohardaga,Upper Bazar,"Upper Bazar, Lohardaga, Jharkhand",24.022254,85.953626,https://www.lohardagacafe434.com,+91-9266421332,4.1,8AM-10PM,No,Yes,Open,Yes,Has Website,Very Good (4.0-4.4)
Medininagar School 435,School,Medininagar,Upper Bazar,"Upper Bazar, Medininagar, Jharkhand",23.825397,83.439101,https://www.medininagarschool435.com,+91-9792107026,3.7,8AM-10PM,No,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Koderma Clinic 436,Clinic,Koderma,Upper Bazar,"Upper Bazar, Koderma, Jharkhand",22.991953,86.767184,https://www.kodermaclinic436.com,+91-9887255513,3.8,24 Hours,Limited,Yes,Open,Yes,Has Website,Good (3.5-3.9)
Latehar Cafe 437,Cafe,Latehar,Kokar,"Kokar, Latehar, Jharkhand",23.2625,84.378858,https://www.lateharcafe437.com,+91-9848438614,4.2,24 Hours,No,No,Open,Yes,Has Website,Very Good (4.0-4.4)
